epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,14772.8,0.9629,0.43321,1.38383,0.98456,0.95698,0.98313,0.70438,1.10872,0.38299,1.56293,0.001585,0.001585,0.001585
87,14939.2,0.96688,0.43266,1.38634,0.98456,0.95734,0.98317,0.70462,1.10858,0.38243,1.56277,0.001486,0.001486,0.001486
88,15105.5,0.96127,0.431,1.38045,0.98457,0.95747,0.98363,0.70502,1.10845,0.38146,1.56242,0.001387,0.001387,0.001387
89,15271.5,0.95569,0.42595,1.37852,0.98424,0.95732,0.98371,0.70475,1.10818,0.3811,1.56203,0.001288,0.001288,0.001288
90,15440.4,0.96215,0.43207,1.38134,0.98375,0.95826,0.98377,0.70524,1.10794,0.38046,1.56196,0.001189,0.001189,0.001189
91,15609.1,0.93524,0.36263,1.41705,0.98386,0.95826,0.98396,0.70542,1.10714,0.37985,1.56102,0.00109,0.00109,0.00109
92,15776.9,0.92628,0.35493,1.41057,0.98458,0.95838,0.98406,0.70601,1.10661,0.37949,1.56071,0.000991,0.000991,0.000991
93,15943.3,0.91871,0.35306,1.3964,0.98463,0.95732,0.9842,0.7068,1.10646,0.37908,1.56053,0.000892,0.000892,0.000892
94,16108.5,0.91153,0.34757,1.3954,0.98541,0.95732,0.98418,0.70686,1.10578,0.37874,1.55993,0.000793,0.000793,0.000793
95,16276.5,0.9068,0.34485,1.39537,0.98504,0.95715,0.98421,0.7071,1.10542,0.37824,1.55967,0.000694,0.000694,0.000694
96,16442.8,0.90015,0.34233,1.3861,0.98593,0.95732,0.98427,0.70755,1.10489,0.37794,1.55927,0.000595,0.000595,0.000595
97,16609,0.89852,0.34013,1.38165,0.9862,0.95779,0.98442,0.70784,1.10443,0.37742,1.55865,0.000496,0.000496,0.000496
98,16775.3,0.88996,0.33747,1.37236,0.98647,0.9575,0.98444,0.70752,1.10404,0.37694,1.55841,0.000397,0.000397,0.000397
99,16941.2,0.88739,0.33817,1.37296,0.98694,0.9571,0.98438,0.70792,1.10389,0.37695,1.55831,0.000298,0.000298,0.000298
100,17108.2,0.8832,0.33372,1.36975,0.98695,0.95744,0.98437,0.70877,1.10343,0.37667,1.55806,0.000199,0.000199,0.000199
